latitude,longitude,period,age,NormalMarine,locality,formation,present_comp,original_comp,fabric,environment,sample,first_author,journal,year,vol,first_page,comments,compiled_by
40,-119.5,Qhl,0,0,NEVADA,-,LMC,LMC,RADIAL,LACUSTRINE,,POPP,COATED GRAINS,1983,,DO,PYRAMID LAKE,"WIlkinson,1990"
40,-119.5,Qhl,0,0,NEVADA,-,ARG,ARG,RADIAL,LACUSTRINE,,POPP,COATED GRAINS,1983,,DO,PYRAMID LAKE,"WIlkinson,1990"
27,-97.6,Qhl,0,0,TEXAS,-,HMC,HMC,RADIAL,MARINE ESTUARY,,LAND,JOUR SED PET,1979,49,1269,BAFFIN BAY,"WIlkinson,1990"
27,-97.6,Qhl,0,0,TEXAS,-,ARG,ARG,TANGENTIAL,BEACH-SF,,SCHOLLE,AAPG MEM,1978,27,116,BAFFIN BAY,"WIlkinson,1990"
25,-79.25,Qhl,0,1,BAHAMAS,-,ARG,ARG,,,TC-2-RUT,PIGOTT,PhD DISSERT,1981,,,CAT CAY,"WIlkinson,1990"
25.5,-79.25,Qhl,0,1,Cat Cay,,,,,,,Diaz,Earth Science Reviews,2019,,,,
25.4,-79.1,Qhl,0,1,Bimini,,,,,,,Diaz,Earth Science Reviews,2019,,,,
26.9,-79.04,Qhl,0,1,Lily Bank,,,,,,,Diaz,Earth Science Reviews,2019,,,,
27.2,-78.4,Qhl,0,1,Abaco Tidal Deltas,,,,,,,Diaz,Earth Science Reviews,2019,,,,
25,-78.13,Qhl,0,1,BAHAMAS,-,ARG,ARG,,,TC-625-RXM,PIGOTT,PhD DISSERT,1981,,,JOULTER CAL,"WIlkinson,1990"
25.2,-78.1,Qhl,0,1,Joulter's Cay,,,,,,,Diaz,Earth Science Reviews,2019,,,,
25.6,-77.86,Qhl,0,1,Berry Islands,,,,,,,Diaz,Earth Science Reviews,2019,,,,
23.3,-76.75,Qhl,0,1,Tongue of the Ocean,,,,,,,Diaz,Earth Science Reviews,2019,,,,
24.4,-76.7,Qhl,0,1,Shroud Cay,,,,,,,Diaz,Earth Science Reviews,2019,,,,
24.3,-76.5,Qhl,0,1,Butterfly Beach,,,,,,,Diaz,Earth Science Reviews,2019,,,,
25,-76,Qhl,0,1,Schooner Cat,,,,,,,Diaz,Earth Science Reviews,2019,,,,
24.5,-75.6,Qhl,0,1,Pigeon Cay,,,,,,,Diaz,Earth Science Reviews,2019,,,,
21.75,-72.4,Qhl,0,1,Long Bay Beach,,,,,,,Diaz,Earth Science Reviews,2019,,,,
21.4,-71.6,Qhl,0,1,Ambergris Cay,,,,,,,Diaz,Earth Science Reviews,2019,,,,
30,35.5,Qhl,0,1,ISRAEL,-,ARG,ARG,RANDOM,HYPERSAL MARINE,,GARBER,JOUR SED PET,1981,51,455,DEAD SEA,"WIlkinson,1990"
26,50.3,Qhl,0,1,ARABIAN SEA,-,ARG,ARG,,NORMAL MARINE,,LOREAU,PERSIAN GULF,1973,,279,,"WIlkinson,1990"
24.5,54.5,Qhl,0,0,,-,ARG,ARG,,TIDAL,Ro-053-QAs,,,,,,ABU DHABI,"WIlkinson,1990"
40,-112,Qhl,0,0,UTAH,-,ARG,ARG,RADIAL,HYPERSAL LACUST,,SANDBERG,SEDIMENTOLOGY,1975,22,497,GREAT SALT LAKE,"WIlkinson,1990"
-25.27,114.22,Qhl,0,0,Shark Bay,-,,,,,,Davies,,1970,,,"Carbonate bank sedimentation, eastern Shark Bay, western Australia",Gallagher 2018
-18.88039,-159.75052,Qhl,0,0,Aitutaki Atoll,,,,,,,Rankey,Geology,2009,,,,
40,28,Qhl,>0,,GREECE,-,,,,,,RICHTER,N Jb GEOL PAL,1976,151,192,,"WIlkinson,1990"
-18.5,121.7,,3.5,,Port Smith,-,,,,,,Hearty,,2006,,,"The enigma of 3400 years BP coastal oolites in tropical northwest Western Australia… why then, why there?",Gallagher 2018
-28.75,48.5,,10,,Persian Gulf,-,,,,,,Milliman,,1974,,,Recent sedimentary carbonates: Part 1 marine carbonates,Gallagher 2018
3,73.2,,10,,Maldives,-,,,,,,Betzler,,2015,,,The leaking bucket of a Maldives atoll: implications for the understanding of carbonate platform drowning,Gallagher 2018
25,-77.2,Qpl,10,,NEW PROVIDENCE IS,,,ARG,,,TC-735-RX,PIGOTT,PhD DISSERT,1981,,,,"WIlkinson,1990"
