unit_id,section_id,col_id,project_id,col_area,unit_name,strat_name_id,Mbr,Fm,Gp,SGp,t_age,b_age,max_thick,min_thick,outcrop,pbdb_collections,pbdb_occurrences
6312,1521,203,1,1420.329,"Unnamed",,"","","","",0,0.0117,25,0,"surface",0,0
11694,3161,437,1,15421.678,"Martinsville Fm",1237,"","Martinsville","","",0,0.6538,10,0,"",0,0
13736,3644,462,1,33541.77,"Unnamed",,"","","","",0,0.6538,100,10,"surface",0,0
6741,1686,239,1,4880.371,"Unnamed",,"","","","",0,0.0117,30,0,"surface",0,0
7466,1969,293,1,31115.18,"Unnamed",,"","","","",0,0.0117,0,0,"",0,0
7224,1878,275,1,3055.13,"Unnamed",,"","","","",0,0.0117,0,0,"",0,0
18760,4888,611,1,12242.685,"Unnamed",,"","","","",0,0.6538,0,0,"",0,0
1890,292,54,1,14957.047,"Unnamed Bolson Deposits",,"","","","",0,0.0117,1500,0,"",0,0
7144,1842,269,1,6919.949,"Unnamed",,"","","","",0,0.0117,0,0,"",0,0
6260,1508,198,1,2735.393,"Unnamed",,"","","","",0,0.0117,0,0,"surface",0,0
7386,1947,287,1,22632.693,"Unnamed",,"","","","",0,0.0117,0,0,"",0,0
17750,4612,558,1,3055.733,"Unnamed",,"","","","",0,0.0117,130,0,"surface",0,0
38244,9898,1659,1,28002.219,"unnamed",,"","","","",0,0.0117,0,0,"",0,0
4611,898,114,1,4579.002,"Unnamed",,"","","","",0,0.0117,10,0,"surface",0,0
6572,1610,227,1,9886.558,"Unnamed",,"","","","",0,1.7239,0,0,"",0,0
11100,2975,414,1,38226.535,"Unnamed",,"","","","",0,1.9379,0,0,"surface",0,0
22856,6422,818,1,8891.328,"alluvium",,"","","","",0,0.0117,0,0,"",0,0
16610,4299,523,1,20642.252,"Unnamed",,"","","","",0,0.0117,10,0,"surface",0,0
14287,3802,473,1,10016.733,"Unnamed",,"","","","",0,0.4398,0,0,"surface",0,0
4763,983,121,1,10497.429,"Unnamed",,"","","","",0,0.0059,5,0,"both",0,0
4490,847,109,1,36881.723,"Residual Soil",,"","","","",0,0.0117,3,0,"surface",0,0
10107,2566,362,1,4127.648,"Unnamed",,"","","","",0,0.0117,20,1,"",0,0
34518,8627,1493,1,12013.19,"unnamed",,"","","","",0,0.0088,0,0,"",0,0
15057,4005,491,1,56023.535,"Unnamed",,"","","","",0,0.6538,0,0,"surface",0,0
10904,2893,403,1,72316.008,"Surficial Deposits",,"","","","",0,0.0059,0,0,"",0,0
36788,9402,1613,1,40588.414,"unnamed",,"","","","",0,0.0117,0,0,"",0,0
22455,6262,801,1,36852.895,"Unnamed",,"","","","",0,0.0117,83,0,"",0,0
17564,4550,545,1,79274.312,"Undifferentiated",,"","","","",0,0.4398,14,0,"both",0,0
12836,3389,446,1,11712.055,"Unnamed",,"","","","",0,0.4398,52,0,"surface",0,0
9988,2522,353,1,8196.246,"Unnamed",,"","","","",0,0.0117,20,0,"",0,0
14125,3752,469,1,21498.912,"Unnamed",,"","","","",0,0.0117,0,0,"surface",0,0
33821,8308,1462,1,16556.043,"unnamed",,"","","","",0,0.0117,0,0,"",0,0
9474,2375,340,1,21013.658,"Oahe Fm",1446,"","Oahe","","",0,0.0117,10,0,"both",0,0
8808,2228,326,1,16978.594,"Unnamed",,"","","","",0,0.6538,100,0,"surface",0,0
1771,226,49,1,33159.254,"Unnamed",,"","","","",0,0.6538,35,0,"surface",0,0
6550,1601,223,1,10640.189,"Unnamed",,"","","","",0,0.0117,0,0,"surface",0,0
5454,1283,158,1,23283.85,"Unnamed",,"","","","",0,0.0117,30,0,"surface",0,0
4977,1122,134,1,1854.219,"Unnamed",,"","","","",0,0.0117,25,0,"surface",0,0
12912,3410,448,1,11902.06,"Unnamed",,"","","","",0,0.3327,54,0,"surface",0,0
17815,4625,562,1,3189.558,"Unnamed",,"","","","",0,0.0117,0,0,"surface",0,0
